market regions/markets,total arrivals,year,quarter,month,Group2,total arrivals(daily),total arrivals_previous,Difference,,,,,,,
Philippines,109831,2024,Q2,6,ASEAN,3661 ,108702,1129,,,,,,,
Philippines,103479,2024,Q3,7,ASEAN,3338 ,102102,1377,,,,,,,
Philippines,87224,2024,Q3,8,ASEAN,2814 ,85393,1831,,,,,,,
Philippines,81658,2024,Q3,9,ASEAN,2722 ,80127,1531,,,,,,,
Philippines,99787,2024,Q4,10,ASEAN,3219 ,,,,,,,,,
Philippines,127533,2024,Q4,11,ASEAN,4251 ,,,,,,,,,
Philippines,146800,2024,Q4,12,ASEAN,4735 ,,,,,,,,,
Philippines,113554,2025,Q1,1,ASEAN,3663 ,,,,,,,,,
Philippines,96968,2025,Q1,2,ASEAN,3463 ,,,,,,,,,
Philippines,102053,2025,Q1,3,ASEAN,3292 ,,,,,,,,,
Philippines,113306,2025,Q2,4,ASEAN,3777 ,,,,,,,,,
Philippines,130197,2025,Q2,5,ASEAN,4200 ,,,,,,,,,
Philippines,122548,2025,Q2,6,ASEAN,4085 ,,,,,,,,,
Philippines,94753,2025,Q3,7,ASEAN,3057 ,,,,,,,,,
Philippines,93945,2025,Q3,8,ASEAN,3030 ,,,,,,,,,
Russia,18217,2018,Q1,1,Russia,588 ,17572,645,,,,,,,
Russia,11153,2018,Q1,2,Russia,398 ,10625,528,,,,,,,
Russia,16405,2018,Q1,3,Russia,529 ,15804,601,,,,,,,
Russia,18651,2018,Q2,4,Russia,622 ,17594,1057,,,,,,,
Russia,13786,2018,Q2,5,Russia,445 ,13276,510,,,,,,,
Russia,11323,2018,Q2,6,Russia,377 ,10773,550,,,,,,,
Russia,10453,2018,Q3,7,Russia,337 ,9978,475,,,,,,,
Russia,10822,2018,Q3,8,Russia,349 ,10162,660,,,,,,,
Russia,10236,2018,Q3,9,Russia,341 ,9797,439,,,,,,,
Russia,17116,2018,Q4,10,Russia,552 ,15979,1137,,,,,,,
Russia,16490,2018,Q4,11,Russia,550 ,15839,651,,,,,,,
Russia,15280,2018,Q4,12,Russia,493 ,14517,763,,,,,,,
Russia,14049,2024,Q1,1,Russia,453 ,13536,513,,,,,,,
Russia,10065,2024,Q1,2,Russia,347 ,9387,678,,,,,,,
Russia,12086,2024,Q1,3,Russia,390 ,11425,661,,,,,,,
Russia,13448,2024,Q2,4,Russia,448 ,12665,783,,,,,,,
Russia,8970,2024,Q2,5,Russia,289 ,8539,431,,,,,,,
Russia,7071,2024,Q2,6,Russia,236 ,6531,540,,,,,,,
Russia,7437,2024,Q3,7,Russia,240 ,6978,459,,,,,,,
Russia,8460,2024,Q3,8,Russia,273 ,7859,601,,,,,,,
Russia,8303,2024,Q3,9,Russia,277 ,7638,665,,,,,,,
Russia,14293,2024,Q4,10,Russia,461 ,,,,,,,,,
Russia,13982,2024,Q4,11,Russia,466 ,,,,,,,,,
Russia,13434,2024,Q4,12,Russia,433 ,,,,,,,,,
Russia,16904,2025,Q1,1,Russia,545 ,,,,,,,,,
Russia,11079,2025,Q1,2,Russia,396 ,,,,,,,,,
Russia,14641,2025,Q1,3,Russia,472 ,,,,,,,,,
Russia,15240,2025,Q2,4,Russia,508 ,,,,,,,,,
Russia,12147,2025,Q2,5,Russia,392 ,,,,,,,,,
Russia,8113,2025,Q2,6,Russia,270 ,,,,,,,,,
Russia,8220,2025,Q3,7,Russia,265 ,,,,,,,,,
Russia,9057,2025,Q3,8,Russia,292 ,,,,,,,,,
Singapore,45203,2018,Q1,1,ASEAN,1458 ,51891,-6688,,,,,,,
Singapore,22421,2018,Q1,2,ASEAN,801 ,27431,-5010,,,,,,,
Singapore,53869,2018,Q1,3,ASEAN,1738 ,61115,-7246,,,,,,,
Singapore,40039,2018,Q2,4,ASEAN,1335 ,46448,-6409,,,,,,,
Singapore,42607,2018,Q2,5,ASEAN,1374 ,48814,-6207,,,,,,,
Singapore,47408,2018,Q2,6,ASEAN,1580 ,54009,-6601,,,,,,,
Singapore,31729,2018,Q3,7,ASEAN,1024 ,36518,-4789,,,,,,,
Singapore,33459,2018,Q3,8,ASEAN,1079 ,37740,-4281,,,,,,,
Singapore,36234,2018,Q3,9,ASEAN,1208 ,41249,-5015,,,,,,,
Singapore,42008,2018,Q4,10,ASEAN,1355 ,49375,-7367,,,,,,,
Singapore,63394,2018,Q4,11,ASEAN,2113 ,71251,-7857,,,,,,,
Singapore,77861,2018,Q4,12,ASEAN,2512 ,84667,-6806,,,,,,,
Singapore,34943,2024,Q1,1,ASEAN,1127 ,39609,-4666,,,,,,,
Singapore,21386,2024,Q1,2,ASEAN,737 ,26379,-4993,,,,,,,
Singapore,42058,2024,Q1,3,ASEAN,1357 ,49523,-7465,,,,,,,
Singapore,34119,2024,Q2,4,ASEAN,1137 ,41222,-7103,,,,,,,
Singapore,34479,2024,Q2,5,ASEAN,1112 ,40681,-6202,,,,,,,
Singapore,44394,2024,Q2,6,ASEAN,1480 ,51592,-7198,,,,,,,
Singapore,24372,2024,Q3,7,ASEAN,786 ,28437,-4065,,,,,,,
Singapore,28344,2024,Q3,8,ASEAN,914 ,34516,-6172,,,,,,,
Singapore,30252,2024,Q3,9,ASEAN,1008 ,37081,-6829,,,,,,,
Singapore,39240,2024,Q4,10,ASEAN,1266 ,,,,,,,,,
Singapore,57449,2024,Q4,11,ASEAN,1915 ,,,,,,,,,
Singapore,75035,2024,Q4,12,ASEAN,2420 ,,,,,,,,,
Singapore,34283,2025,Q1,1,ASEAN,1106 ,,,,,,,,,
Singapore,26987,2025,Q1,2,ASEAN,964 ,,,,,,,,,
Singapore,49639,2025,Q1,3,ASEAN,1601 ,,,,,,,,,
Singapore,33802,2025,Q2,4,ASEAN,1127 ,,,,,,,,,
Singapore,34215,2025,Q2,5,ASEAN,1104 ,,,,,,,,,
Singapore,43368,2025,Q2,6,ASEAN,1446 ,,,,,,,,,
Singapore,26106,2025,Q3,7,ASEAN,842 ,,,,,,,,,
Singapore,24197,2025,Q3,8,ASEAN,781 ,,,,,,,,,
South Korea,172432,2018,Q1,1,South Korea,5562 ,168152,4280,,,,,,,
South Korea,126142,2018,Q1,2,South Korea,4505 ,122667,3475,,,,,,,
South Korea,129998,2018,Q1,3,South Korea,4193 ,127261,2737,,,,,,,
South Korea,110385,2018,Q2,4,South Korea,3680 ,106526,3859,,,,,,,
South Korea,114461,2018,Q2,5,South Korea,3692 ,111738,2723,,,,,,,
South Korea,99420,2018,Q2,6,South Korea,3314 ,96260,3160,,,,,,,
South Korea,101964,2018,Q3,7,South Korea,3289 ,98776,3188,,,,,,,
South Korea,116354,2018,Q3,8,South Korea,3753 ,112959,3395,,,,,,,
South Korea,103090,2018,Q3,9,South Korea,3436 ,100119,2971,,,,,,,
South Korea,115428,2018,Q4,10,South Korea,3723 ,111400,4028,,,,,,,
South Korea,131587,2018,Q4,11,South Korea,4386 ,128753,2834,,,,,,,
South Korea,140297,2018,Q4,12,South Korea,4526 ,136800,3497,,,,,,,
South Korea,100516,2024,Q1,1,South Korea,3242 ,100022,494,,,,,,,
South Korea,85201,2024,Q1,2,South Korea,2938 ,84707,494,,,,,,,
South Korea,67330,2024,Q1,3,South Korea,2172 ,67393,-63,,,,,,,
South Korea,64102,2024,Q2,4,South Korea,2137 ,63804,298,,,,,,,
South Korea,56533,2024,Q2,5,South Korea,1824 ,56604,-71,,,,,,,
South Korea,47453,2024,Q2,6,South Korea,1582 ,47223,230,,,,,,,
South Korea,48059,2024,Q3,7,South Korea,1550 ,48089,-30,,,,,,,
South Korea,60049,2024,Q3,8,South Korea,1937 ,60032,17,,,,,,,
South Korea,65074,2024,Q3,9,South Korea,2169 ,64796,278,,,,,,,
South Korea,78822,2024,Q4,10,South Korea,2543 ,,,,,,,,,
South Korea,85029,2024,Q4,11,South Korea,2834 ,,,,,,,,,
South Korea,96705,2024,Q4,12,South Korea,3120 ,,,,,,,,,
South Korea,126739,2025,Q1,1,South Korea,4088 ,,,,,,,,,
South Korea,121523,2025,Q1,2,South Korea,4340 ,,,,,,,,,
South Korea,90102,2025,Q1,3,South Korea,2907 ,,,,,,,,,
South Korea,62155,2025,Q2,4,South Korea,2072 ,,,,,,,,,
South Korea,73233,2025,Q2,5,South Korea,2362 ,,,,,,,,,
South Korea,52364,2025,Q2,6,South Korea,1745 ,,,,,,,,,
South Korea,50770,2025,Q3,7,South Korea,1638 ,,,,,,,,,
South Korea,55884,2025,Q3,8,South Korea,1803 ,,,,,,,,,
Taiwan,162142,2018,Q1,1,Taiwan,5230 ,156300,5842,,,,,,,
Taiwan,154569,2018,Q1,2,Taiwan,5520 ,146308,8261,,,,,,,
Taiwan,162753,2018,Q1,3,Taiwan,5250 ,157997,4756,,,,,,,
Taiwan,180108,2018,Q2,4,Taiwan,6004 ,172597,7511,,,,,,,
Taiwan,156411,2018,Q2,5,Taiwan,5046 ,151060,5351,,,,,,,
Taiwan,170433,2018,Q2,6,Taiwan,5681 ,164497,5936,,,,,,,
Taiwan,179562,2018,Q3,7,Taiwan,5792 ,172884,6678,,,,,,,
Taiwan,175455,2018,Q3,8,Taiwan,5660 ,167791,7664,,,,,,,
Taiwan,158089,2018,Q3,9,Taiwan,5270 ,150747,7342,,,,,,,
Taiwan,164252,2018,Q4,10,Taiwan,5298 ,155625,8627,,,,,,,
Taiwan,158295,2018,Q4,11,Taiwan,5277 ,151502,6793,,,,,,,
Taiwan,185455,2018,Q4,12,Taiwan,5982 ,177926,7529,,,,,,,
Taiwan,93916,2024,Q1,1,Taiwan,3030 ,92208,1708,,,,,,,
Taiwan,99726,2024,Q1,2,Taiwan,3439 ,97587,2139,,,,,,,
Taiwan,91534,2024,Q1,3,Taiwan,2953 ,90853,681,,,,,,,
Taiwan,101924,2024,Q2,4,Taiwan,3397 ,99899,2025,,,,,,,
Taiwan,93048,2024,Q2,5,Taiwan,3002 ,90739,2309,,,,,,,
Taiwan,112192,2024,Q2,6,Taiwan,3740 ,110949,1243,,,,,,,
Taiwan,112633,2024,Q3,7,Taiwan,3633 ,110232,2401,,,,,,,
Taiwan,113214,2024,Q3,8,Taiwan,3652 ,110092,3122,,,,,,,
Taiwan,102359,2024,Q3,9,Taiwan,3412 ,99093,3266,,,,,,,
Taiwan,108366,2024,Q4,10,Taiwan,3496 ,,,,,,,,,
Taiwan,102291,2024,Q4,11,Taiwan,3410 ,,,,,,,,,
Taiwan,113407,2024,Q4,12,Taiwan,3658 ,,,,,,,,,
Taiwan,139003,2025,Q1,1,Taiwan,4484 ,,,,,,,,,
Taiwan,118849,2025,Q1,2,Taiwan,4245 ,,,,,,,,,
Taiwan,112569,2025,Q1,3,Taiwan,3631 ,,,,,,,,,
Taiwan,124218,2025,Q2,4,Taiwan,4141 ,,,,,,,,,
Taiwan,123435,2025,Q2,5,Taiwan,3982 ,,,,,,,,,
Taiwan,125246,2025,Q2,6,Taiwan,4175 ,,,,,,,,,
Taiwan,140392,2025,Q3,7,Taiwan,4529 ,,,,,,,,,
Taiwan,148511,2025,Q3,8,Taiwan,4791 ,,,,,,,,,
Thailand,52370,2018,Q1,1,ASEAN,1689 ,53084,-714,,,,,,,
Thailand,22308,2018,Q1,2,ASEAN,797 ,22854,-546,,,,,,,
Thailand,65368,2018,Q1,3,ASEAN,2109 ,66074,-706,,,,,,,
Thailand,56088,2018,Q2,4,ASEAN,1870 ,56878,-790,,,,,,,
Thailand,51288,2018,Q2,5,ASEAN,1654 ,51939,-651,,,,,,,
Thailand,37821,2018,Q2,6,ASEAN,1261 ,38488,-667,,,,,,,
Thailand,42131,2018,Q3,7,ASEAN,1359 ,42710,-579,,,,,,,
Thailand,33423,2018,Q3,8,ASEAN,1078 ,33931,-508,,,,,,,
Thailand,31126,2018,Q3,9,ASEAN,1038 ,31678,-552,,,,,,,
Thailand,54836,2018,Q4,10,ASEAN,1769 ,55964,-1128,,,,,,,
Thailand,48894,2018,Q4,11,ASEAN,1630 ,49520,-626,,,,,,,
Thailand,67623,2018,Q4,12,ASEAN,2181 ,68486,-863,,,,,,,
Thailand,51227,2024,Q1,1,ASEAN,1652 ,51710,-483,,,,,,,
Thailand,37038,2024,Q1,2,ASEAN,1277 ,37918,-880,,,,,,,
Thailand,65135,2024,Q1,3,ASEAN,2101 ,65717,-582,,,,,,,
Thailand,60044,2024,Q2,4,ASEAN,2001 ,61483,-1439,,,,,,,
Thailand,41893,2024,Q2,5,ASEAN,1351 ,42824,-931,,,,,,,
Thailand,30070,2024,Q2,6,ASEAN,1002 ,30822,-752,,,,,,,
Thailand,31325,2024,Q3,7,ASEAN,1010 ,32116,-791,,,,,,,
Thailand,26786,2024,Q3,8,ASEAN,864 ,27537,-751,,,,,,,
Thailand,25505,2024,Q3,9,ASEAN,850 ,26516,-1011,,,,,,,
Thailand,47548,2024,Q4,10,ASEAN,1534 ,,,,,,,,,
Thailand,43528,2024,Q4,11,ASEAN,1451 ,,,,,,,,,
Thailand,61546,2024,Q4,12,ASEAN,1985 ,,,,,,,,,
Thailand,39068,2025,Q1,1,ASEAN,1260 ,,,,,,,,,
Thailand,48931,2025,Q1,2,ASEAN,1748 ,,,,,,,,,
Thailand,59170,2025,Q1,3,ASEAN,1909 ,,,,,,,,,
Thailand,54727,2025,Q2,4,ASEAN,1824 ,,,,,,,,,
Thailand,47917,2025,Q2,5,ASEAN,1546 ,,,,,,,,,
Thailand,33635,2025,Q2,6,ASEAN,1121 ,,,,,,,,,
Thailand,40934,2025,Q3,7,ASEAN,1320 ,,,,,,,,,
Thailand,35041,2025,Q3,8,ASEAN,1130 ,,,,,,,,,
United Kingdom,41548,2018,Q1,1,G7,1340 ,46909,-5361,,,,,,,
United Kingdom,35894,2018,Q1,2,G7,1282 ,40376,-4482,,,,,,,
United Kingdom,61788,2018,Q1,3,G7,1993 ,67731,-5943,,,,,,,
United Kingdom,54945,2018,Q2,4,G7,1832 ,60214,-5269,,,,,,,
United Kingdom,39165,2018,Q2,5,G7,1263 ,43653,-4488,,,,,,,
United Kingdom,32165,2018,Q2,6,G7,1072 ,35102,-2937,,,,,,,
United Kingdom,36435,2018,Q3,7,G7,1175 ,39538,-3103,,,,,,,
United Kingdom,38664,2018,Q3,8,G7,1247 ,41393,-2729,,,,,,,
United Kingdom,35094,2018,Q3,9,G7,1170 ,39121,-4027,,,,,,,
United Kingdom,50216,2018,Q4,10,G7,1620 ,54553,-4337,,,,,,,
United Kingdom,51765,2018,Q4,11,G7,1726 ,57782,-6017,,,,,,,
United Kingdom,40651,2018,Q4,12,G7,1311 ,46367,-5716,,,,,,,
United Kingdom,22940,2024,Q1,1,G7,740 ,22610,330,,,,,,,
United Kingdom,23159,2024,Q1,2,G7,799 ,22759,400,,,,,,,
United Kingdom,36095,2024,Q1,3,G7,1164 ,35936,159,,,,,,,
United Kingdom,29612,2024,Q2,4,G7,987 ,28708,904,,,,,,,
United Kingdom,19997,2024,Q2,5,G7,645 ,20072,-75,,,,,,,
United Kingdom,16449,2024,Q2,6,G7,548 ,16221,228,,,,,,,
United Kingdom,18416,2024,Q3,7,G7,594 ,17967,449,,,,,,,
United Kingdom,20148,2024,Q3,8,G7,650 ,19821,327,,,,,,,
United Kingdom,19799,2024,Q3,9,G7,660 ,19477,322,,,,,,,
United Kingdom,31622,2024,Q4,10,G7,1020 ,,,,,,,,,
United Kingdom,30016,2024,Q4,11,G7,1001 ,,,,,,,,,
United Kingdom,26185,2024,Q4,12,G7,845 ,,,,,,,,,
United Kingdom,26528,2025,Q1,1,G7,856 ,,,,,,,,,
United Kingdom,27223,2025,Q1,2,G7,972 ,,,,,,,,,
United Kingdom,39271,2025,Q1,3,G7,1267 ,,,,,,,,,
United Kingdom,33735,2025,Q2,4,G7,1125 ,,,,,,,,,
United Kingdom,24102,2025,Q2,5,G7,777 ,,,,,,,,,
United Kingdom,18596,2025,Q2,6,G7,620 ,,,,,,,,,
United Kingdom,23485,2025,Q3,7,G7,758 ,,,,,,,,,
United Kingdom,22955,2025,Q3,8,G7,740 ,,,,,,,,,
USA,103468,2018,Q1,1,G7,3338 ,101744,1724,,,,,,,
USA,79137,2018,Q1,2,G7,2826 ,75975,3162,,,,,,,
USA,129752,2018,Q1,3,G7,4186 ,128125,1627,,,,,,,
USA,124521,2018,Q2,4,G7,4151 ,121213,3308,,,,,,,
USA,104585,2018,Q2,5,G7,3374 ,103594,991,,,,,,,
USA,114356,2018,Q2,6,G7,3812 ,113117,1239,,,,,,,
USA,108376,2018,Q3,7,G7,3496 ,105698,2678,,,,,,,
USA,91973,2018,Q3,8,G7,2967 ,89055,2918,,,,,,,
USA,89966,2018,Q3,9,G7,2999 ,88098,1868,,,,,,,
USA,126121,2018,Q4,10,G7,4068 ,122699,3422,,,,,,,
USA,139513,2018,Q4,11,G7,4650 ,137397,2116,,,,,,,
USA,118717,2018,Q4,12,G7,3830 ,117517,1200,,,,,,,
USA,62390,2024,Q1,1,G7,2013 ,62807,-417,,,,,,,
USA,57486,2024,Q1,2,G7,1982 ,56371,1115,,,,,,,
USA,82817,2024,Q1,3,G7,2672 ,83201,-384,,,,,,,
USA,74625,2024,Q2,4,G7,2488 ,74102,523,,,,,,,
USA,62584,2024,Q2,5,G7,2019 ,62437,147,,,,,,,
USA,83081,2024,Q2,6,G7,2769 ,84381,-1300,,,,,,,
USA,83014,2024,Q3,7,G7,2678 ,82191,823,,,,,,,
USA,64239,2024,Q3,8,G7,2072 ,63394,845,,,,,,,
USA,53984,2024,Q3,9,G7,1799 ,54157,-173,,,,,,,
USA,79114,2024,Q4,10,G7,2552 ,,,,,,,,,
USA,92582,2024,Q4,11,G7,3086 ,,,,,,,,,
USA,88346,2024,Q4,12,G7,2850 ,,,,,,,,,
USA,75740,2025,Q1,1,G7,2443 ,,,,,,,,,
USA,67201,2025,Q1,2,G7,2400 ,,,,,,,,,
USA,93957,2025,Q1,3,G7,3031 ,,,,,,,,,
USA,84296,2025,Q2,4,G7,2810 ,,,,,,,,,
USA,71839,2025,Q2,5,G7,2317 ,,,,,,,,,
USA,96384,2025,Q2,6,G7,3213 ,,,,,,,,,
USA,95946,2025,Q3,7,G7,3095 ,,,,,,,,,
USA,73640,2025,Q3,8,G7,2375 ,,,,,,,,,
Vietnam,3020,2018,Q1,1,ASEAN,97 ,3231,-211,,,,,,,
Vietnam,4113,2018,Q1,2,ASEAN,147 ,4376,-263,,,,,,,
Vietnam,3675,2018,Q1,3,ASEAN,119 ,3889,-214,,,,,,,
Vietnam,4942,2018,Q2,4,ASEAN,165 ,5360,-418,,,,,,,
Vietnam,4127,2018,Q2,5,ASEAN,133 ,4419,-292,,,,,,,
Vietnam,5943,2018,Q2,6,ASEAN,198 ,6142,-199,,,,,,,
Vietnam,5787,2018,Q3,7,ASEAN,187 ,6041,-254,,,,,,,
Vietnam,4687,2018,Q3,8,ASEAN,151 ,4977,-290,,,,,,,
Vietnam,4696,2018,Q3,9,ASEAN,157 ,5025,-329,,,,,,,
Vietnam,3930,2018,Q4,10,ASEAN,127 ,4287,-357,,,,,,,
Vietnam,3522,2018,Q4,11,ASEAN,117 ,3834,-312,,,,,,,
Vietnam,4904,2018,Q4,12,ASEAN,158 ,5226,-322,,,,,,,
Vietnam,2073,2024,Q1,1,ASEAN,67 ,2376,-303,,,,,,,
Vietnam,4244,2024,Q1,2,ASEAN,146 ,4708,-464,,,,,,,
Vietnam,3450,2024,Q1,3,ASEAN,111 ,3695,-245,,,,,,,
Vietnam,4306,2024,Q2,4,ASEAN,144 ,4688,-382,,,,,,,
Vietnam,3304,2024,Q2,5,ASEAN,107 ,3544,-240,,,,,,,
Vietnam,4625,2024,Q2,6,ASEAN,154 ,4932,-307,,,,,,,
Vietnam,4619,2024,Q3,7,ASEAN,149 ,4726,-107,,,,,,,
Vietnam,5934,2024,Q3,8,ASEAN,191 ,6168,-234,,,,,,,
Vietnam,4041,2024,Q3,9,ASEAN,135 ,4167,-126,,,,,,,
Vietnam,3241,2024,Q4,10,ASEAN,105 ,,,,,,,,,
Vietnam,3941,2024,Q4,11,ASEAN,131 ,,,,,,,,,
Vietnam,4531,2024,Q4,12,ASEAN,146 ,,,,,,,,,
Vietnam,4323,2025,Q1,1,ASEAN,139 ,,,,,,,,,
Vietnam,3430,2025,Q1,2,ASEAN,123 ,,,,,,,,,
Vietnam,4190,2025,Q1,3,ASEAN,135 ,,,,,,,,,
Vietnam,5682,2025,Q2,4,ASEAN,189 ,,,,,,,,,
Vietnam,10890,2025,Q2,5,ASEAN,351 ,,,,,,,,,
Vietnam,5377,2025,Q2,6,ASEAN,179 ,,,,,,,,,
Vietnam,5125,2025,Q3,7,ASEAN,165 ,,,,,,,,,
Vietnam,6827,2025,Q3,8,ASEAN,220 ,,,,,,,,,
Middle East,15184,2018,Q1,1,Middle East,490 ,,,,,,,,,
Middle East,9270,2018,Q1,2,Middle East,331 ,,,,,,,,,
Middle East,14748,2018,Q1,3,Middle East,476 ,,,,,,,,,
Middle East,15805,2018,Q2,4,Middle East,527 ,,,,,,,,,
Middle East,9658,2018,Q2,5,Middle East,312 ,,,,,,,,,
Middle East,9757,2018,Q2,6,Middle East,325 ,,,,,,,,,
Middle East,13024,2018,Q3,7,Middle East,420 ,,,,,,,,,
Middle East,14741,2018,Q3,8,Middle East,476 ,,,,,,,,,
Middle East,12389,2018,Q3,9,Middle East,413 ,,,,,,,,,
Middle East,14689,2018,Q4,10,Middle East,474 ,,,,,,,,,
Middle East,12226,2018,Q4,11,Middle East,408 ,,,,,,,,,
Middle East,12908,2018,Q4,12,Middle East,416 ,,,,,,,,,
Middle East,4390,2024,Q1,1,Middle East,142 ,,,,,,,,,
Middle East,4430,2024,Q1,2,Middle East,153 ,,,,,,,,,
Middle East,4456,2024,Q1,3,Middle East,144 ,,,,,,,,,
Middle East,6618,2024,Q2,4,Middle East,221 ,,,,,,,,,
Middle East,4760,2024,Q2,5,Middle East,154 ,,,,,,,,,
Middle East,5051,2024,Q2,6,Middle East,168 ,,,,,,,,,
Middle East,4543,2024,Q3,7,Middle East,147 ,,,,,,,,,
Middle East,4572,2024,Q3,8,Middle East,147 ,,,,,,,,,
Middle East,6076,2024,Q3,9,Middle East,203 ,,,,,,,,,
Middle East,7784,2024,Q4,10,Middle East,251 ,,,,,,,,,
Middle East,7352,2024,Q4,11,Middle East,245 ,,,,,,,,,
Middle East,6847,2024,Q4,12,Middle East,221 ,,,,,,,,,
Middle East,5446,2025,Q1,1,Middle East,176 ,,,,,,,,,
Middle East,5019,2025,Q1,2,Middle East,179 ,,,,,,,,,
Middle East,6688,2025,Q1,3,Middle East,216 ,,,,,,,,,
Middle East,9026,2025,Q2,4,Middle East,301 ,,,,,,,,,
Middle East,5644,2025,Q2,5,Middle East,182 ,,,,,,,,,
Middle East,6471,2025,Q2,6,Middle East,216 ,,,,,,,,,
Middle East,6913,2025,Q3,7,Middle East,223 ,,,,,,,,,
Middle East,8624,2025,Q3,8,Middle East,278 ,,,,,,,,,
Australia,37156,2025,Q4,9,Australia,1239 ,,,,,,,,,
Canada,23305,2025,Q4,9,G7,777 ,,,,,,,,,
France,10787,2025,Q4,9,G7,360 ,,,,,,,,,
Germany,13529,2025,Q4,9,G7,451 ,,,,,,,,,
India,39005,2025,Q4,9,India,1300 ,,,,,,,,,
Indonesia,25081,2025,Q4,9,ASEAN,836 ,,,,,,,,,
Japan,65928,2025,Q4,9,G7,2198 ,,,,,,,,,
Macau SAR,73210,2025,Q4,9,Macau SAR,2440 ,,,,,,,,,
Mainland,,2025,Q4,9,#N/A,#VALUE!,,,,,,,,,
Malaysia,37435,2025,Q4,9,ASEAN,1248 ,,,,,,,,,
Netherlands,5273,2025,Q4,9,Netherlands,176 ,,,,,,,,,
Philippines,88153,2025,Q4,9,ASEAN,2938 ,,,,,,,,,
Russia,8916,2025,Q4,9,Russia,297 ,,,,,,,,,
Singapore,31949,2025,Q4,9,ASEAN,1065 ,,,,,,,,,
South Korea,49789,2025,Q4,9,South Korea,1660 ,,,,,,,,,
Taiwan,128829,2025,Q4,9,Taiwan,4294 ,,,,,,,,,
Thailand,28025,2025,Q4,9,ASEAN,934 ,,,,,,,,,
United Kingdom,20976,2025,Q4,9,G7,699 ,,,,,,,,,
USA,58568,2025,Q4,9,G7,1952 ,,,,,,,,,
Vietnam,3779,2025,Q4,9,ASEAN,126 ,,,,,,,,,
Middle East,7551,2025,Q4,9,Middle East,252 ,,,,,,,,,
Australia,47326,2025,Q4,10,Australia,1527 ,,,,,,,,,
Canada,36581,2025,Q4,10,G7,1180 ,,,,,,,,,
France,19761,2025,Q4,10,G7,637 ,,,,,,,,,
Germany,20978,2025,Q4,10,G7,677 ,,,,,,,,,
India,41613,2025,Q4,10,India,1342 ,,,,,,,,,
Indonesia,25434,2025,Q4,10,ASEAN,820 ,,,,,,,,,
Japan,63101,2025,Q4,10,G7,2036 ,,,,,,,,,
Macau SAR,93584,2025,Q4,10,Macau SAR,3019 ,,,,,,,,,
Mainland,,2025,Q4,10,#N/A,#VALUE!,,,,,,,,,
Malaysia,38061,2025,Q4,10,ASEAN,1228 ,,,,,,,,,
Netherlands,9637,2025,Q4,10,Netherlands,311 ,,,,,,,,,
Philippines,111327,2025,Q4,10,ASEAN,3591 ,,,,,,,,,
Russia,19762,2025,Q4,10,Russia,637 ,,,,,,,,,
Singapore,40029,2025,Q4,10,ASEAN,1291 ,,,,,,,,,
South Korea,91979,2025,Q4,10,South Korea,2967 ,,,,,,,,,
Taiwan,157831,2025,Q4,10,Taiwan,5091 ,,,,,,,,,
Thailand,55211,2025,Q4,10,ASEAN,1781 ,,,,,,,,,
United Kingdom,34561,2025,Q4,10,G7,1115 ,,,,,,,,,
USA,95093,2025,Q4,10,G7,3068 ,,,,,,,,,
Vietnam,5266,2025,Q4,10,ASEAN,170 ,,,,,,,,,
Middle East,9772,2025,Q4,10,Middle East,315 ,,,,,,,,,
Australia,44370,2025,Q4,11,Australia,1479 ,,,,,,,,,
Canada,41350,2025,Q4,11,G7,1378 ,,,,,,,,,
France,19803,2025,Q4,11,G7,660 ,,,,,,,,,
Germany,21108,2025,Q4,11,G7,704 ,,,,,,,,,
India,34697,2025,Q4,11,India,1157 ,,,,,,,,,
Indonesia,27789,2025,Q4,11,ASEAN,926 ,,,,,,,,,
Japan,75336,2025,Q4,11,G7,2511 ,,,,,,,,,
Macau SAR,92370,2025,Q4,11,Macau SAR,3079 ,,,,,,,,,
Mainland,,2025,Q4,11,#N/A,#VALUE!,,,,,,,,,
Malaysia,43802,2025,Q4,11,ASEAN,1460 ,,,,,,,,,
Netherlands,9466,2025,Q4,11,Netherlands,316 ,,,,,,,,,
Philippines,125683,2025,Q4,11,ASEAN,4189 ,,,,,,,,,
Russia,19806,2025,Q4,11,Russia,660 ,,,,,,,,,
Singapore,53168,2025,Q4,11,ASEAN,1772 ,,,,,,,,,
South Korea,96160,2025,Q4,11,South Korea,3205 ,,,,,,,,,
Taiwan,127113,2025,Q4,11,Taiwan,4237 ,,,,,,,,,
Thailand,47577,2025,Q4,11,ASEAN,1586 ,,,,,,,,,
United Kingdom,36311,2025,Q4,11,G7,1210 ,,,,,,,,,
USA,105899,2025,Q4,11,G7,3530 ,,,,,,,,,
Vietnam,4643,2025,Q4,11,ASEAN,155 ,,,,,,,,,
Middle East,10650,2025,Q4,11,Middle East,355 ,,,,,,,,,
Australia,67795,2025,Q4,12,Australia,2187 ,,,,,,,,,
Canada,38762,2025,Q4,12,G7,1250 ,,,,,,,,,
France,16828,2025,Q4,12,G7,543 ,,,,,,,,,
Germany,17420,2025,Q4,12,G7,562 ,,,,,,,,,
India,39330,2025,Q4,12,India,1269 ,,,,,,,,,
Indonesia,44515,2025,Q4,12,ASEAN,1436 ,,,,,,,,,
Japan,65821,2025,Q4,12,G7,2123 ,,,,,,,,,
